Sample,Total_Records,Primary_Alignments,Secondary_Alignments,Supplementary_Alignments,Unmapped_Reads,Mean_MQ,Median_MQ,Mean_Coverage
D7Z6FC_A_TXSHAXX_WT_diff,1309,1081,0,51,177,59.81036077705828,60.0,1035.4332191780823
D7Z6FC_B_TXSHAXX_WT_diffDox72h,1327,1172,0,87,68,59.86860068259386,60.0,1103.5958904109589
D7Z6FC_C_TXSHAXX_dTsix_diffDox72h,1032,837,0,86,109,59.66547192353644,60.0,783.7037671232877
D7Z6FC_D_TXSHAXX_dTsixdSPEN_diffDox72h,171,144,0,13,14,59.958333333333336,60.0,134.78082191780823
