fov,y,x,probability,object_intensity,nucleus_id
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1188.0,610.0,0.4212,0.2911,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1185.1875,629.9592,0.5517,0.3722,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1166.1275,579.1935,0.5021,0.2862,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1163.8031,615.9296,0.5091,0.3913,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1159.6444,572.7788,0.5348,0.3218,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1158.1861,638.0964,0.4873,0.3783,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1156.1571,605.4794,0.478,0.4072,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1148.1904,636.5447,0.5003,0.4578,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1147.3616,595.7656,0.4847,0.382,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1145.0,567.0,0.4803,0.3165,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1143.0,745.0,0.4745,0.3581,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1142.8511,729.4283,0.502,0.3903,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1135.9391,582.8977,0.5311,0.4141,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1134.8112,628.684,0.4937,0.4511,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1127.9835,634.7144,0.5032,0.4522,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1128.0,578.0,0.4674,0.3426,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1123.0,574.0,0.4634,0.3513,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1118.9842,707.952,0.4815,0.3533,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1119.0055,581.7914,0.507,0.4178,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1116.0,608.0,0.4741,0.4367,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1111.9444,667.8831,0.5078,0.4443,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1108.7233,720.3696,0.522,0.44,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1109.9188,620.2995,0.4831,0.4654,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1107.9435,733.9968,0.5133,0.473,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1107.1191,676.3837,0.5118,0.4591,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1105.2611,612.6939,0.5196,0.5743,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1103.3288,599.6259,0.5073,0.4808,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1101.5498,549.1633,0.5159,0.3952,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1097.9993,736.0004,0.5091,0.5173,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1098.0,539.0,0.406,0.3114,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1096.0,673.0,0.4741,0.3678,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1091.2463,611.0231,0.6259,0.616,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1091.052,572.9491,0.4994,0.4068,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1089.7337,527.5016,0.5068,0.2849,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1088.9773,732.9775,0.5035,0.487,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1089.0044,650.8646,0.5017,0.3361,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1088.0,679.0,0.4448,0.3527,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1088.0502,563.919,0.51,0.4329,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1086.0392,597.0327,0.5095,0.5153,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1085.2543,579.9653,0.4968,0.4537,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1081.7871,607.6786,0.7109,0.7834,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1080.0,733.0,0.4455,0.4503,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1080.0,727.0,0.4507,0.5354,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1079.0179,659.8465,0.6094,0.4447,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1075.9814,722.071,0.6542,0.6976,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1075.0,570.0,0.4725,0.4824,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1073.0,733.0,0.4042,0.4431,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1072.3476,649.3971,0.4789,0.4258,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1071.3076,673.1045,0.4754,0.4616,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1069.816,655.2398,0.4883,0.4192,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1069.1117,740.8949,0.7732,0.558,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1066.9052,723.8511,0.5818,0.5975,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1067.0,556.0,0.4436,0.3599,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1066.9173,578.1607,0.5041,0.5522,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1064.9495,654.306,0.4879,0.4533,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1062.3614,745.447,0.4877,0.3917,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1060.0,659.0,0.4379,0.3578,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1059.9498,521.9876,0.4975,0.3279,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1058.9765,737.272,0.7911,0.6064,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1057.976,719.6921,0.5027,0.4969,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1058.0834,593.5627,0.5708,0.6603,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1056.4149,670.3402,0.4883,0.4222,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1054.0,568.0,0.4071,0.5313,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1053.1084,647.5154,0.6375,0.502,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1052.0,586.0,0.44,0.567,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1049.7679,575.9469,0.51,0.6757,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1048.5051,737.6606,0.5123,0.5111,10
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1046.4478,510.3366,0.6335,0.3668,11
