fov,y,x,probability,object_intensity
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1200.4996,822.0761,0.4864,0.3578
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1190.3651,836.4057,0.4851,0.3568
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1188.0,610.0,0.4212,0.2911
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1185.1875,629.9592,0.5517,0.3722
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1182.0,804.0,0.4314,0.3488
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1175.3026,829.3976,0.4852,0.3879
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1172.0529,763.9876,0.5077,0.3516
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1165.0584,797.0894,0.5203,0.4403
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1166.1275,579.1935,0.5021,0.2862
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1163.8031,615.9296,0.5091,0.3913
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1159.6444,572.7788,0.5348,0.3218
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1158.1861,638.0964,0.4873,0.3783
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1156.9347,831.8711,0.4979,0.4269
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1156.1571,605.4794,0.478,0.4072
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1154.0568,796.0604,0.5342,0.4771
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1153.0,788.0,0.4425,0.3177
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1148.1904,636.5447,0.5003,0.4578
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1147.3616,595.7656,0.4847,0.382
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1145.0,567.0,0.4803,0.3165
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1142.9034,759.7757,0.5632,0.4206
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1143.0,745.0,0.4745,0.3581
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1142.8511,729.4283,0.502,0.3903
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1139.0,783.0,0.4222,0.3091
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1135.9391,582.8977,0.5311,0.4141
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1134.8112,628.684,0.4937,0.4511
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1134.0,797.0,0.4049,0.3905
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1127.9835,634.7144,0.5032,0.4522
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1128.0,578.0,0.4674,0.3426
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1125.0,784.0,0.4761,0.3791
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1123.8967,757.2539,0.4963,0.3563
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1123.0,574.0,0.4634,0.3513
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1118.9842,707.952,0.4815,0.3533
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1119.0055,581.7914,0.507,0.4178
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1117.0506,794.8837,0.4593,0.4612
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1116.0,608.0,0.4741,0.4367
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1115.0,785.0,0.412,0.4336
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1112.9178,821.2086,0.4975,0.6381
