fov,y,x,probability,object_intensity
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1112.878,804.9189,0.4993,0.5314
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1111.9444,667.8831,0.5078,0.4443
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1108.7233,720.3696,0.522,0.44
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1109.9188,620.2995,0.4831,0.4654
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1107.9435,733.9968,0.5133,0.473
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1107.1191,676.3837,0.5118,0.4591
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1105.2611,612.6939,0.5196,0.5743
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1103.3288,599.6259,0.5073,0.4808
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1101.5498,549.1633,0.5159,0.3952
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1097.9993,736.0004,0.5091,0.5173
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1098.0,539.0,0.406,0.3114
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1096.0,673.0,0.4741,0.3678
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1091.9912,795.9815,0.5042,0.5644
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1091.2463,611.0231,0.6259,0.616
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1091.052,572.9491,0.4994,0.4068
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1089.7337,527.5016,0.5068,0.2849
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1088.9773,732.9775,0.5035,0.487
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1089.0044,650.8646,0.5017,0.3361
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1088.0,679.0,0.4448,0.3527
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1088.0502,563.919,0.51,0.4329
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1087.076,811.0733,0.5556,0.538
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1086.0392,597.0327,0.5095,0.5153
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1085.2543,579.9653,0.4968,0.4537
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1082.995,775.7631,0.7409,0.5292
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1081.7871,607.6786,0.7109,0.7834
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1079.974,806.0609,0.7391,0.7377
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1080.0,733.0,0.4455,0.4503
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1080.0,727.0,0.4507,0.5354
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1080.2802,644.9691,0.4962,0.3428
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1079.0179,659.8465,0.6094,0.4447
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1077.291,810.4551,0.6533,0.7286
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1076.5241,796.7221,0.5028,0.4462
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1075.9814,722.071,0.6542,0.6976
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1075.0,570.0,0.4725,0.4824
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1073.0,733.0,0.4042,0.4431
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1072.3476,649.3971,0.4789,0.4258
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1071.9976,823.9617,0.8419,0.5884
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1071.3076,673.1045,0.4754,0.4616
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1069.816,655.2398,0.4883,0.4192
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1068.8988,805.2903,0.5019,0.5206
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1069.1117,740.8949,0.7732,0.558
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1066.4572,793.8196,0.5036,0.4385
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1066.9052,723.8511,0.5818,0.5975
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1067.0,556.0,0.4436,0.3599
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1066.9173,578.1607,0.5041,0.5522
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1064.9495,654.306,0.4879,0.4533
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1062.3614,745.447,0.4877,0.3917
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1060.0,659.0,0.4379,0.3578
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1059.9498,521.9876,0.4975,0.3279
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1058.9765,737.272,0.7911,0.6064
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1057.976,719.6921,0.5027,0.4969
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1058.0834,593.5627,0.5708,0.6603
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1056.4149,670.3402,0.4883,0.4222
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1054.0,568.0,0.4071,0.5313
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1053.0772,749.0298,0.7855,0.5627
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1053.1084,647.5154,0.6375,0.502
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1052.0997,796.0442,0.5075,0.4302
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1052.0,586.0,0.44,0.567
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1050.9464,817.0287,0.4911,0.5559
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1050.6409,805.1199,0.8109,0.7674
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1049.0,832.0,0.4344,0.4659
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1048.9595,809.9202,0.4803,0.576
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1049.7679,575.9469,0.51,0.6757
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1048.5051,737.6606,0.5123,0.5111
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1047.7451,611.3141,0.7909,0.8603
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1046.4478,510.3366,0.6335,0.3668
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1045.0,849.0,0.4664,0.8408
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1044.7796,656.5897,0.5522,0.5212
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1044.9232,650.8973,0.4875,0.4412
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1042.2302,666.0474,0.5186,0.4804
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1043.1844,581.4562,0.4951,0.6507
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1042.1688,641.112,0.5029,0.4229
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1041.1584,602.4427,0.607,0.5969
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1039.6674,805.5327,0.5232,0.5347
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1039.9926,530.9398,0.4995,0.3891
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1038.7021,749.0581,0.5026,0.408
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1038.13,611.6913,0.4921,0.4019
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1036.9979,595.0006,0.7183,0.6601
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1036.0,564.0,0.4835,0.5353
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1035.4809,544.8753,0.4738,0.5153
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1034.9564,653.41,0.6714,0.5369
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1034.1155,832.8392,0.8025,0.6073
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1033.0,849.0,0.4537,0.7492
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1032.3712,576.3258,0.5114,0.5577
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1031.0,853.0,0.4008,0.6449
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1029.7564,732.0687,0.8003,0.5647
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1030.3116,601.0193,0.5589,0.5837
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1029.0,548.0,0.4051,0.4564
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1027.0,592.0,0.4632,0.5384
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1027.0,518.0,0.413,0.3598
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1026.0705,564.9671,0.6639,0.6405
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1026.4124,528.531,0.5062,0.4441
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1023.5635,836.378,0.5557,0.5316
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1020.2583,431.1665,0.4976,0.2132
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1018.8377,824.9979,0.6013,0.5246
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1018.1073,740.9323,0.5048,0.4651
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1018.3273,557.9349,0.5009,0.5098
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1017.4607,509.3246,0.4841,0.4144
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1017.8948,565.9608,0.4942,0.5219
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1017.3656,478.4812,0.5023,0.3174
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1015.0505,575.62,0.4847,0.5115
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1014.3903,469.7438,0.5039,0.2895
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1014.0,734.0,0.4393,0.4214
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1011.4243,842.5567,0.533,0.5282
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1012.0095,540.8759,0.513,0.5618
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1011.0938,711.8853,0.4762,0.392
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1011.8645,458.9612,0.5078,0.3266
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1010.1259,600.0694,0.8013,0.5469
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1010.1056,549.0764,0.5539,0.5829
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1009.2294,481.0155,0.537,0.4041
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1007.9412,565.1242,0.5029,0.5158
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1007.0,845.0,0.4891,0.47
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1007.046,450.5917,0.5156,0.3177
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1005.5076,836.9289,0.5109,0.4184
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1004.7981,776.9612,0.4781,0.2686
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1005.4385,736.2725,0.5685,0.6379
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1004.0,491.0,0.4595,0.3652
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1003.5181,443.5606,0.5039,0.2958
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1001.0159,739.9835,0.901,0.7083
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,1001.2289,584.139,0.5086,0.529
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,998.6775,476.9582,0.7264,0.4697
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,997.7358,790.2763,0.6591,0.3586
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,998.0511,777.0036,0.671,0.3702
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,998.0,539.0,0.4449,0.4355
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,997.6077,383.8448,0.4806,0.2145
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,994.9233,726.9943,0.5116,0.4777
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,994.695,436.1532,0.6687,0.4406
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,995.4651,423.3248,0.5099,0.3328
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,993.5435,545.9571,0.4805,0.4491
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,993.6222,495.6786,0.5757,0.4292
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,993.2043,525.2938,0.5727,0.4864
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,992.8369,468.5849,0.7361,0.4971
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,991.7764,735.0974,0.7798,0.7017
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,991.0,649.0,0.4715,0.3991
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,990.0378,745.0028,0.929,0.8905
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,989.3717,561.102,0.4747,0.4315
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,989.0,441.0,0.4598,0.4043
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,987.6656,638.5072,0.4928,0.3741
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,988.4316,580.4637,0.6456,0.6662
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,986.4954,546.1999,0.5906,0.6222
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,984.9655,730.2367,0.5669,0.5869
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,984.1098,614.0187,0.5064,0.3371
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,984.7329,520.7394,0.5004,0.4205
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,982.2464,711.1446,0.8164,0.6882
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,982.0072,648.698,0.4997,0.4224
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,981.0,632.0,0.4636,0.3061
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,981.0,586.0,0.4555,0.4365
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,981.0901,555.0249,0.4993,0.4953
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,981.0,430.0,0.4257,0.4857
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,981.0366,565.7051,0.5029,0.5009
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,978.7099,702.4884,0.4859,0.4513
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,979.3435,693.9289,0.743,0.5382
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,979.0904,447.9537,0.4993,0.4525
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,977.3168,463.8099,0.4937,0.4675
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,975.8018,749.0148,0.516,0.4617
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,976.4566,456.922,0.4911,0.4405
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,976.0129,383.9146,0.5098,0.285
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,973.7615,653.4516,0.4917,0.4278
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,971.2341,584.0466,0.4883,0.3802
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,972.0,492.0,0.4561,0.4485
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,971.4031,396.9225,0.5499,0.3917
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,969.472,743.3963,0.6341,0.5417
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,969.9789,483.9419,0.5386,0.5688
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,969.1207,823.1758,0.501,0.256
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,968.5506,564.6812,0.5452,0.5222
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,967.8365,694.4949,0.5331,0.7356
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,968.0372,660.9279,0.5399,0.4773
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,967.0,751.0,0.4494,0.344
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,966.9904,710.8416,0.7836,0.5911
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,966.3629,690.6025,0.4817,0.6306
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,965.605,671.0325,0.5385,0.4912
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,966.1742,547.5419,0.5033,0.4276
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,964.9012,404.7196,0.4973,0.3917
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,962.9133,586.9793,0.5026,0.382
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,963.8945,493.2211,0.4988,0.4459
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,960.7844,731.9096,0.5081,0.504
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,961.7533,642.2289,0.476,0.3776
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,960.221,741.0764,0.5139,0.4276
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,959.8004,684.4531,0.5192,0.47
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,960.399,544.9086,0.5038,0.4115
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,958.5261,747.7638,0.5041,0.3842
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,958.094,691.5523,0.4957,0.4483
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,956.3634,807.9927,0.4731,0.239
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,957.2782,701.5723,0.4939,0.4879
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,957.2421,454.107,0.5072,0.5059
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,956.7254,756.8939,0.5085,0.3114
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,955.9309,726.8178,0.4964,0.4731
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,955.9103,554.9327,0.568,0.5071
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,954.7557,493.4921,0.5064,0.5127
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,954.6165,706.0818,0.4799,0.4785
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,953.0,646.0,0.4005,0.2893
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,953.0,463.0,0.4436,0.4605
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,952.9692,408.9409,0.8439,0.6194
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,951.5006,400.0911,0.4744,0.3709
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-1,951.1009,816.861,0.4954,0.2592
