Sample,Allele,Total_Reads,1_SNP_Hits_%,2_SNP_Hits_%,3_SNP_Hits_%,4_SNP_Hits_%,5_SNP_Hits_%,SNP1_only,SNP2_only,SNP3_only,SNP4_only,SNP5_only,SNP1_&_SNP2,SNP1_&_SNP3,SNP1_&_SNP4,SNP1_&_SNP5,SNP2_&_SNP3,SNP2_&_SNP4,SNP2_&_SNP5,SNP3_&_SNP4,SNP3_&_SNP5,SNP4_&_SNP5,ALL_SNPS
D7Z6FC_B_TXSHAXX_WT_diffDox72h,B6,1137,4.221635883905013,1.1433597185576077,5.980650835532102,8.619173262972735,80.03518029903253,0.9006156552330695,0.9322779243623571,0.9384344766930519,0.8865435356200527,0.9331574318381706,0.8883025505716798,0.890061565523307,0.8284960422163589,0.8381706244503079,0.9252418645558487,0.8601583113456465,0.8680738786279684,0.8663148636763413,0.8759894459102903,0.8707124010554089,0.8003518029903254
D7Z6FC_B_TXSHAXX_WT_diffDox72h,Cast,33,6.0606060606060606,6.0606060606060606,39.39393939393939,12.121212121212121,36.36363636363637,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.48484848484848486,0.42424242424242425,0.9090909090909091,0.8787878787878788,0.48484848484848486,0.36363636363636365,0.9090909090909091,0.48484848484848486,0.36363636363636365,0.48484848484848486,0.36363636363636365,0.36363636363636365,0.36363636363636365
D7Z6FC_C_TXSHAXX_dTsix_diffDox72h,B6,717,4.323570432357044,1.5341701534170153,10.87866108786611,14.783821478382148,68.47977684797767,0.8730822873082287,0.9330543933054394,0.9344490934449093,0.8270571827057183,0.8479776847977685,0.8633193863319386,0.8633193863319386,0.7489539748953975,0.7266387726638772,0.9260808926080892,0.8047419804741981,0.7824267782426778,0.8047419804741981,0.7824267782426778,0.7740585774058577,0.6847977684797768
D7Z6FC_C_TXSHAXX_dTsix_diffDox72h,Cast,115,0.8695652173913043,5.217391304347826,40.869565217391305,19.130434782608695,33.91304347826087,0.9391304347826087,0.9652173913043478,0.9565217391304348,0.5043478260869565,0.43478260869565216,0.9217391304347826,0.9043478260869565,0.4782608695652174,0.4,0.9391304347826087,0.4782608695652174,0.40869565217391307,0.4956521739130435,0.41739130434782606,0.3739130434782609,0.3391304347826087
D7Z6FC_D_TXSHAXX_dTsixdSPEN_diffDox72h,B6,85,1.1764705882352942,3.5294117647058822,17.647058823529413,20.0,57.647058823529406,0.8941176470588236,0.9411764705882353,0.9176470588235294,0.788235294117647,0.7529411764705882,0.8705882352941177,0.8470588235294118,0.7176470588235294,0.6588235294117647,0.9176470588235294,0.7411764705882353,0.6941176470588235,0.7294117647058823,0.6705882352941176,0.6823529411764706,0.5764705882352941
D7Z6FC_D_TXSHAXX_dTsixdSPEN_diffDox72h,Cast,59,3.389830508474576,8.47457627118644,27.11864406779661,22.033898305084744,38.983050847457626,0.7796610169491526,0.847457627118644,0.847457627118644,0.711864406779661,0.6610169491525424,0.7288135593220338,0.7288135593220338,0.559322033898305,0.4915254237288136,0.847457627118644,0.5932203389830508,0.5084745762711864,0.5932203389830508,0.5084745762711864,0.559322033898305,0.3898305084745763
D7Z6FC_A_TXSHAXX_WT_diff,B6,509,3.9292730844793713,1.1787819253438114,20.039292730844792,17.87819253438114,56.97445972495089,0.8919449901768173,0.9449901768172888,0.9449901768172888,0.7367387033398821,0.7092337917485265,0.8840864440078585,0.8840864440078585,0.6738703339882122,0.6149312377210217,0.9410609037328095,0.7229862475442044,0.656188605108055,0.7210216110019646,0.6542239685658153,0.630648330058939,0.5697445972495089
D7Z6FC_A_TXSHAXX_WT_diff,Cast,557,0.718132854578097,3.052064631956912,22.082585278276483,21.903052064631957,52.244165170556556,0.8940754039497307,0.9497307001795332,0.9622980251346499,0.718132854578097,0.6947935368043088,0.8761220825852782,0.8761220825852782,0.6319569120287253,0.6068222621184919,0.940754039497307,0.6786355475763016,0.6499102333931778,0.6929982046678635,0.6624775583482945,0.6157989228007181,0.5224416517055656
