fov,hub_id,hub_uid,nucleus_id,radius_start_nm,radius_end_nm,radius_center_nm,bin_index,h3k27ac_sum_intensity,h3k27ac_mean_intensity,h3k27ac_median_intensity,expected_h3k27ac_sum_intensity,local_h3k27ac_mean,spen_sum_intensity,spen_mean_intensity,spen_median_intensity,expected_spen_sum_intensity,local_spen_mean,local_reference_pixel_count,h3k27ac_rdf_local_norm,spen_rdf_local_norm,pixel_count,spotiflow_intensity,nucleus_spen_median,nucleus_h3k27ac_mean
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,0.0,100.0,50.0,0,12593882.75,1399320.3055555555,1393435.0,12072384.025623644,1341376.0028470715,177984.94140625,19776.104600694445,20205.041015625,63894.17068051154,7099.3522978346155,922,1.0431976586620733,2.78562096527121,9,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,50.0,150.0,100.0,1,28147325.5,1407366.275,1391334.75,26827520.05694143,1341376.0028470715,330536.0654296875,16526.803271484376,16079.75390625,141987.0459566923,7099.3522978346155,922,1.0491959540150293,2.327931137679312,20,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,100.0,200.0,150.0,2,39761416.5,1420050.5892857143,1391334.75,37558528.079718,1341376.0028470715,351246.330078125,12544.511788504464,12282.0146484375,198781.86433936923,7099.3522978346155,922,1.058652149935332,1.7669938414425053,28,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,150.0,250.0,200.0,3,54736984.625,1440446.9638157894,1405947.9375,50972288.10818872,1341376.0028470715,370990.86474609375,9762.917493318257,9975.572265625,269775.3873177154,7099.3522978346155,922,1.0738577108569407,1.3751842539630073,38,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,200.0,300.0,250.0,4,71788363.0,1465068.6326530613,1438625.625,65727424.139506504,1341376.0028470715,405973.31005859375,8285.169593032526,8359.5048828125,347868.2625938961,7099.3522978346155,922,1.0922132418825534,1.1670317580322924,49,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,250.0,350.0,300.0,5,76265435.875,1466642.9975961538,1454356.875,69751552.14804772,1341376.0028470715,392489.759765625,7547.879995492788,7300.536376953125,369166.3194874,7099.3522978346155,922,1.093386935865263,1.0631786786796,52,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,300.0,400.0,350.0,6,85740896.5,1453235.5338983051,1470887.375,79141184.16797721,1341376.0028470715,419887.400390625,7116.735599841101,6826.2490234375,418861.78557224234,7099.3522978346155,922,1.0833916297994088,1.0024485757682131,59,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,350.0,450.0,400.0,7,106369602.6875,1457117.8450342466,1471255.5,97920448.20783623,1341376.0028470715,511176.5537109375,7002.4185439854455,6619.4951171875,518252.7177419269,7099.3522978346155,922,1.086285904877911,0.986346113027982,73,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,400.0,500.0,450.0,8,124673879.8125,1466751.5272058824,1495622.625,114016960.24200107,1341376.0028470715,593788.3618164062,6985.745433134191,6673.21826171875,603444.9453159423,7099.3522978346155,922,1.093467845028315,0.9839975733088954,85,22620.291015625,7806.400390625,999929.4885875753
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,450.0,550.0,500.0,9,138751708.6875,1445330.298828125,1477103.5625,128772096.27331886,1341376.0028470715,658542.9501953125,6859.822397867839,6643.3203125,681537.8205921231,7099.3522978346155,922,1.07749825236206,0.966260316446074,96,22620.291015625,7806.400390625,999929.4885875753
