condition,results_dir,pcf_type,r_center_nm,mean_G,sem_G,n_nuclei,color
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,490.0,0.9035479443011436,0.0330700523659642,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,510.0,0.9072748325182032,0.0327990242401438,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,530.0,0.9111578358416916,0.0326503046997459,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,550.0,0.9151241114224392,0.0326917640564802,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,570.0,0.9189616276697198,0.0328167231110511,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,590.0,0.9226067063814486,0.0330050049811394,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,610.0,0.9262308932005404,0.0332089191171224,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,630.0,0.9298133354831672,0.0333570831032189,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,650.0,0.9334059321605268,0.0333454650018844,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,670.0,0.9370174427664458,0.0332175757374165,8,#0072B2
